state,lat,lon
AL,32.38164995,-86.3202575
AK,58.27599872,-133.917836
AR,34.74136265,-92.33068922
AZ,33.45157549,-112.0894067
CA,38.58416528,-121.5273623
CO,39.73713298,-104.992663
CT,41.76668231,-72.68112033
DE,39.1557674,-75.52098724
HI,21.30980202,-157.8623139
FL,30.42664618,-83.92313272
GA,33.74980325,-84.36251349
ID,43.61127091,-116.2009914
IL,39.78219201,-89.6646656
IN,39.77404103,-86.20284384
IA,41.58470482,-93.64292187
KS,39.04745851,-95.67541534
KY,38.20143177,-84.87452543
LA,30.45380146,-91.17254587
ME,44.31219029,-69.77259045
MD,38.97911256,-76.49302504
MA,42.36158852,-71.06921458
MI,42.73188675,-84.55668092
MN,44.95562618,-93.09164672
MS,32.30061421,-90.21040626
MO,38.57760773,-92.16858471
MT,46.58899285,-112.0349326
NE,40.81931656,-96.70642314
NV,39.16630437,-119.7942363
NH,43.21116873,-71.54339266
NJ,40.22100527,-74.75738618
NM,35.68918595,-105.9380608
NC,35.78206713,-78.66022161
ND,46.80351049,-100.7765552
NY,42.65382786,-73.76880903
OH,39.96137662,-82.98876906
OK,35.45848557,-97.65247116
OR,44.9421081,-123.0398933
PA,40.27323895,-76.88523202
RI,41.82529991,-71.42255715
SC,34.00002513,-81.03780705
SD,44.36558439,-100.3504108
TN,36.1560084,-86.84865326
TX,30.27159345,-97.73582973
UT,40.75845748,-111.8738482
VT,44.2591652,-72.5721564
VA,37.53979294,-77.45757041
WA,47.03784867,-122.9018475
WV,38.34710326,-81.64287126
WI,43.06947389,-89.40115188
WY,41.14029331,-104.8226795
DC,38.90701533,-77.03338458
PR,18.41713551,-66.05287342
VI,18.34214097,-64.93149292