"","to","from","from_gdp","to_gdp","domestic","km","value","from_pop","to_pop"
"306","NL","LA",341675.4231,33159.5,0,3712.8079560204,367654082,4657757,510550
"307","NL","NY",2371795.13721,33159.5,0,1783.74509285715,1642816,20201249,510550
"308","NL","MS",154100.46033,33159.5,0,3438.70022552104,173410,2961279,510550
"309","NL","MD",556490.71404,33159.5,0,2084.72168501873,1785,6177224,510550
"310","NS","AB",339674.4,42703.5,1,3719.22815723741,776618000,4262635,969383
"311","NS","MD",556490.71404,42703.5,0,1289.38166435131,1344107,6177224,969383
"312","NS","NJ",853618.25613,42703.5,0,1039.68675133372,483990,9288994,969383
"313","NS","FL",1504330.4142,42703.5,0,2512.15374775262,10820014,21538187,969383
"314","NS","ND",80798.25825,42703.5,0,2759.25556184109,164408,779094,969383
"315","NS","NY",2371795.13721,42703.5,0,992.28521578947,60167195,20201249,969383
"316","NS","OR",330108.57042,42703.5,0,4553.16051374769,1603845,4237256,969383
"317","NS","MI",716840.87337,42703.5,0,1679.49039779406,491889,10077331,969383
"318","NS","PA",1064483.10039,42703.5,0,1222.3516672876,53495121,13002700,969383
"319","NS","IL",1188374.02842,42703.5,0,2059.84113090297,8073051,12812508,969383
"320","NS","ME",92496.47403,42703.5,0,511.502471476654,961791,1362359,969383
"321","NS","MS",154100.46033,42703.5,0,2645.87298717975,359777,2961279,969383
"322","NS","HI",123720.42138,42703.5,0,8677.62548659545,7332,1455271,969383
"323","NS","CT",380093.02611,42703.5,0,866.974658233478,162702898,3605944,969383
"324","NS","OH",932697.64812,42703.5,0,1662.80576426097,2883630,11799448,969383
"325","NS","NL",33159.5,42703.5,1,795.539089766901,236254000,510550,969383
"326","NS","AK",72381.86424,42703.5,0,5516.03071549522,772,733391,969383
"327","NS","IA",260420.71125,42703.5,0,2402.7533809881,4395435,3190369,969383
"329","NS","WA",807608.92746,42703.5,0,4382.56987900984,1028597,7705281,969383
"330","NS","MB",69243.2,42703.5,1,2648.62790407381,122909000,1342153,969383
"331","NS","IN",510642.47103,42703.5,0,1943.39982791731,249560,6785528,969383
"332","NS","MT",69948.32964,42703.5,0,3653.38342207718,49267,1084225,969383
"333","NS","PE",6778.2,42703.5,1,134.224989660891,176569000,154331,969383
"334","NS","WI",460310.36754,42703.5,0,2033.42559055375,4147240,5893718,969383
"335","NS","QC",425276.7,42703.5,1,720.639931824777,1432027000,8501833,969383
"336","NS","NE",176276.27658,42703.5,0,2759.81314406399,213352,1961504,969383
"337","NS","NH",116592.31458,42703.5,0,679.248186706411,7673824,1377529,969383
"338","NS","NV",244960.46859,42703.5,0,4436.96715428872,316996,3104614,969383
"339","NS","MO",444180.04038,42703.5,0,2490.6065574091,241770,6154913,969383
"340","NS","SC",331161.99633,42703.5,0,1944.27270746685,140407,5118425,969383
"341","NS","AL",311553.73158,42703.5,0,2413.10016197528,536752,5024279,969383
"342","NS","DE",104440.96245,42703.5,0,1189.18419517342,818605,989948,969383
"344","NS","AR",175981.17402,42703.5,0,2707.43155278727,3973224,3011524,969383
"345","NS","ON",833628.8,42703.5,1,1320.7341881423,1769016000,14223942,969383
"346","NS","KS",233625.69072,42703.5,0,2814.4331312438,286022,2937880,969383
"347","NS","ID",112029.37086,42703.5,0,4029.66495677804,62390,1839106,969383
"348","NS","TN",511961.8077,42703.5,0,2189.73403067732,296084,6910840,969383
"349","NS","BC",286182.1,42703.5,1,4231.43518049969,347213000,5000879,969383
"350","NS","GA",858100.65702,42703.5,0,2185.0428674108,5672865,10711908,969383
"351","NS","MN",510657.73038,42703.5,0,2351.48198407626,509108,5706494,969383
"352","NS","LA",341675.4231,42703.5,0,2919.19950931456,21643272,4657757,969383
"353","NS","CO",527898.67284,42703.5,0,3453.30787613485,2367,5773714,969383
"354","NS","NC",786121.37424,42703.5,0,1740.20478289915,516815,10439388,969383
"355","NS","VT",46123.44207,42703.5,0,753.853714669588,5245,643077,969383
"357","NS","MA",780309.41955,42703.5,0,713.759841921925,1579242,7029917,969383
"358","NS","KY",292818.69972,42703.5,0,1986.73761016116,742751,4505836,969383
"359","NS","CA",4071764.74893,42703.5,0,4768.55722558021,12606533,39538223,969383
"360","NS","AZ",498087.34323,42703.5,0,4307.22108031172,14310,7151502,969383
"361","NS","SK",79001.8,42703.5,1,3183.64000111533,46650000,1132505,969383
"362","NS","UT",267121.15818,42703.5,0,3940.94615335404,54744,3271616,969383
"363","NS","TX",2474499.05487,42703.5,0,3335.49969137313,291806976,29145505,969383
"364","NS","DC",192495.24066,42703.5,0,1318.9970820305,4871,689545,969383
"365","NS","VA",745322.11842,42703.5,0,1442.8805168955,76571,8631393,969383
"366","NS","RI",83348.82543,42703.5,0,750.701059910574,4959,1097379,969383
"367","NS","NB",34495.1,42703.5,1,222.459839234241,1343811000,775610,969383
"368","NS","OK",273331.71363,42703.5,0,3002.01704153408,1832754,3959353,969383
"399","ON","RI",83348.82543,833628.8,0,717.116306022146,519751446,1097379,14223942
"400","ON","TN",511961.8077,833628.8,0,1019.08650405829,7048940684,6910840,14223942
"401","ON","LA",341675.4231,833628.8,0,1756.09391579651,1182525316,4657757,14223942
"402","ON","PA",1064483.10039,833628.8,0,418.560260601237,8444815062,13002700,14223942
"403","ON","DE",104440.96245,833628.8,0,589.41227803918,252893472,989948,14223942
"404","ON","CT",380093.02611,833628.8,0,616.799763778562,1034455632,3605944,14223942
"405","ON","NC",786121.37424,833628.8,0,888.452393043551,5058794058,10439388,14223942
"406","ON","AL",311553.73158,833628.8,0,1313.32451110926,4156854328,5024279,14223942
"407","ON","KS",233625.69072,833628.8,0,1494.52953233826,1310252721,2937880,14223942
"408","ON","WY",53115.14355,833628.8,0,2195.21144598628,82911558,576851,14223942
"409","ON","WI",460310.36754,833628.8,0,737.646119577688,5702304564,5893718,14223942
"410","ON","NE",176276.27658,833628.8,0,1448.08383288754,1121985746,1961504,14223942
"411","ON","HI",123720.42138,833628.8,0,7441.26203519174,5967222,1455271,14223942
"412","ON","AZ",498087.34323,833628.8,0,2987.2397537175,815420975,7151502,14223942
"413","ON","MB",69243.2,833628.8,1,1572.00858963971,5562251000,1342153,14223942
"414","ON","NV",244960.46859,833628.8,0,3140.32593608523,549328976,3104614,14223942
"415","ON","IL",1188374.02842,833628.8,0,739.6991425955,10619292436,12812508,14223942
"417","ON","NH",116592.31458,833628.8,0,682.883306221127,333829748,1377529,14223942
"418","ON","CO",527898.67284,833628.8,0,2146.38788454484,917212002,5773714,14223942
"419","ON","AB",339674.4,833628.8,1,2689.40295819105,12108810000,4262635,14223942
"420","ON","ID",112029.37086,833628.8,0,2815.71369344151,450655471,1839106,14223942
"421","ON","PE",6778.2,833628.8,1,1337.24649278863,238099000,154331,14223942
"422","ON","VT",46123.44207,833628.8,0,570.154309170437,96931678,643077,14223942
"423","ON","AK",72381.86424,833628.8,0,4813.29834201512,10635279,733391,14223942
"424","ON","MO",444180.04038,833628.8,0,1181.08907975875,5014022692,6154913,14223942
"425","ON","IN",510642.47103,833628.8,0,648.216564382311,14155131077,6785528,14223942
"426","ON","CA",4071764.74893,833628.8,0,3470.77385957303,8025045835,39538223,14223942
"427","ON","BC",286182.1,833628.8,1,3159.38091093243,3872919000,5000879,14223942
"428","ON","SD",73212.76902,833628.8,0,1528.85872857175,255536127,886667,14223942
"429","ON","MT",69948.32964,833628.8,0,2478.15433341842,64912485,1084225,14223942
"430","ON","NS",42703.5,833628.8,1,1320.7341881423,1193458000,969383,14223942
"431","ON","MN",510657.73038,833628.8,0,1103.36024655772,3455187848,5706494,14223942
"432","ON","ND",80798.25825,833628.8,0,1581.97109919498,2528877448,779094,14223942
"433","ON","OK",273331.71363,833628.8,0,1697.52752965691,900941470,3959353,14223942
"434","ON","NY",2371795.13721,833628.8,0,489.977649242524,16070618052,20201249,14223942
"435","ON","UT",267121.15818,833628.8,0,2661.13652654459,803902513,3271616,14223942
"436","ON","QC",425276.7,833628.8,1,657.703802217222,27094268000,8501833,14223942
"437","ON","SK",79001.8,833628.8,1,2133.97954542708,3351820000,1132505,14223942
"438","ON","AR",175981.17402,833628.8,0,1438.60391174528,917917350,3011524,14223942
"439","ON","KY",292818.69972,833628.8,0,778.302132043385,7376737391,4505836,14223942
"440","ON","IA",260420.71125,833628.8,0,1089.21973944652,2520799815,3190369,14223942
"441","ON","VA",745322.11842,833628.8,0,655.612462274197,2374583982,8631393,14223942
"442","ON","MA",780309.41955,833628.8,0,708.745540637083,1904218524,7029917,14223942
"443","ON","GA",858100.65702,833628.8,0,1177.9054728894,4177581115,10711908,14223942
"444","ON","FL",1504330.4142,833628.8,0,1752.49101371399,2524986512,21538187,14223942
"445","ON","SC",331161.99633,833628.8,0,1061.49139432058,3113772894,5118425,14223942
"446","ON","NL",33159.5,833628.8,1,2064.45375422924,1196142000,510550,14223942
"447","ON","WA",807608.92746,833628.8,0,3250.18251840388,3024383946,7705281,14223942
"448","ON","OH",932697.64812,833628.8,0,419.335558827209,19952782395,11799448,14223942
"450","ON","TX",2474499.05487,833628.8,0,2080.93061061184,9889762781,29145505,14223942
"451","ON","ME",92496.47403,833628.8,0,815.031554077882,122957403,1362359,14223942
"452","ON","MD",556490.71404,833628.8,0,551.268917382212,824306424,6177224,14223942
"453","ON","WV",106473.64056,833628.8,0,526.853258163132,1773316492,1793716,14223942
"454","ON","MI",716840.87337,833628.8,0,359.264687344936,27905413372,10077331,14223942
"455","ON","NJ",853618.25613,833628.8,0,566.548803976982,3858404501,9288994,14223942
"457","ON","DC",192495.24066,833628.8,0,566.165335962772,2486057,689545,14223942
"458","ON","OR",330108.57042,833628.8,0,3375.52610026813,820063273,4237256,14223942
"459","ON","MS",154100.46033,833628.8,0,1482.70776450693,2127232114,2961279,14223942
"460","ON","NM",137760.0849,833628.8,0,2478.63371493935,63117507,2117522,14223942
"461","ON","NB",34495.1,833628.8,1,1141.99122194712,1344422000,775610,14223942
"462","PE","PA",1064483.10039,6778.2,0,1280.22739073126,3620367,13002700,154331
"463","PE","AR",175981.17402,6778.2,0,2747.32266794883,96439,3011524,154331
"464","PE","FL",1504330.4142,6778.2,0,2610.38382954067,26081748,21538187,154331
"465","PE","MB",69243.2,6778.2,1,2600.85309960923,32231000,1342153,154331
"466","PE","OH",932697.64812,6778.2,0,1699.48986722839,25823,11799448,154331
"467","PE","MN",510657.73038,6778.2,0,2334.63408275506,223417,5706494,154331
"468","PE","NH",116592.31458,6778.2,0,732.889961508132,2043,1377529,154331
"469","PE","MA",780309.41955,6778.2,0,781.986038056581,1221508,7029917,154331
"470","PE","GA",858100.65702,6778.2,0,2258.51695012173,1256107,10711908,154331
"471","PE","AL",311553.73158,6778.2,0,2479.00226473392,7259,5024279,154331
"472","PE","SD",73212.76902,6778.2,0,2780.21299694265,19157,886667,154331
"473","PE","WI",460310.36754,6778.2,0,2031.84386776966,441416,5893718,154331
"474","PE","NV",244960.46859,6778.2,0,4426.48372569705,20729,3104614,154331
"475","PE","NC",786121.37424,6778.2,0,1819.3948314949,1092977,10439388,154331
"476","PE","RI",83348.82543,6778.2,0,825.193584510016,4120,1097379,154331
"477","PE","VA",745322.11842,6778.2,0,1517.09748068527,59255,8631393,154331
"478","PE","AB",339674.4,6778.2,1,3657.37214516284,28328000,4262635,154331
"479","PE","KY",292818.69972,6778.2,0,2033.53701713165,1227238,4505836,154331
"480","PE","MD",556490.71404,6778.2,0,1358.9570979305,35128,6177224,154331
"481","PE","MO",444180.04038,6778.2,0,2515.90140879563,924215,6154913,154331
"482","PE","TX",2474499.05487,6778.2,0,3380.77604062071,256488,29145505,154331
"483","PE","BC",286182.1,6778.2,1,4172.85156403482,27324000,5000879,154331
"484","PE","IN",510642.47103,6778.2,0,1972.69401153511,148248,6785528,154331
"485","PE","LA",341675.4231,6778.2,0,2980.10849546001,10085,4657757,154331
"486","PE","HI",123720.42138,6778.2,0,8641.41648551418,29264,1455271,154331
"487","PE","NS",42703.5,6778.2,1,134.224989660891,295695000,969383,154331
"488","PE","IL",1188374.02842,6778.2,0,2076.31578582027,547937,12812508,154331
"489","PE","DE",104440.96245,6778.2,0,1263.30379380613,392273,989948,154331
"490","PE","NE",176276.27658,6778.2,0,2761.26085953918,7392,1961504,154331
"491","PE","MT",69948.32964,6778.2,0,3613.53971674131,67,1084225,154331
"492","PE","UT",267121.15818,6778.2,0,3924.86647317738,47957,3271616,154331
"493","PE","AZ",498087.34323,6778.2,0,4315.01219534348,4781,7151502,154331
"494","PE","NB",34495.1,6778.2,1,195.475574565766,458578000,775610,154331
"495","PE","NY",2371795.13721,6778.2,0,1051.13386691608,2130652,20201249,154331
"496","PE","TN",511961.8077,6778.2,0,2244.28101328575,79668,6910840,154331
"497","PE","OR",330108.57042,6778.2,0,4510.45621626807,10359,4237256,154331
"498","PE","NJ",853618.25613,6778.2,0,1110.1408234591,2375511,9288994,154331
"499","PE","ID",112029.37086,6778.2,0,3995.92042470818,60183,1839106,154331
"500","PE","IA",260420.71125,6778.2,0,2406.67445362377,1195982,3190369,154331
"501","PE","WA",807608.92746,6778.2,0,4332.49995189326,51900,7705281,154331
"503","PE","CA",4071764.74893,6778.2,0,4758.08412649348,695682,39538223,154331
"506","PE","SC",331161.99633,6778.2,0,2025.32456361605,739519,5118425,154331
"507","PE","SK",79001.8,6778.2,1,3127.63216152404,6249000,1132505,154331
"508","PE","CT",380093.02611,6778.2,0,935.238078012983,101892,3605944,154331
"509","PE","NL",33159.5,6778.2,1,736.803326872393,6585000,510550,154331
"510","PE","ME",92496.47403,6778.2,0,553.036932163655,16056,1362359,154331
"511","PE","MI",716840.87337,6778.2,0,1692.83525700709,10251,10077331,154331
"512","PE","QC",425276.7,6778.2,1,705.728248182341,266701000,8501833,154331
"513","PE","ON",833628.8,6778.2,1,1337.24649278863,372558000,14223942,154331
"514","PE","CO",527898.67284,6778.2,0,3449.97825002283,342004,5773714,154331
"515","QC","VT",46123.44207,425276.7,0,250.544533314511,1105208984,643077,8501833
"516","QC","NJ",853618.25613,425276.7,0,674.745109998185,1131093736,9288994,8501833
"517","QC","OR",330108.57042,425276.7,0,3839.67597067452,159744403,4237256,8501833
"518","QC","GA",858100.65702,425276.7,0,1731.76363055158,579279369,10711908,8501833
"519","QC","UT",267121.15818,425276.7,0,3222.37290519173,139451902,3271616,8501833
"520","QC","AR",175981.17402,425276.7,0,2094.82459030703,88746877,3011524,8501833
"521","QC","OK",273331.71363,425276.7,0,2352.94147373007,45605617,3959353,8501833
"522","QC","WI",460310.36754,425276.7,0,1326.87389015099,239397824,5893718,8501833
"523","QC","CA",4071764.74893,425276.7,0,4053.33059678302,1297923860,39538223,8501833
"524","QC","IL",1188374.02842,425276.7,0,1386.02004483392,1261543665,12812508,8501833
"525","QC","IN",510642.47103,425276.7,0,1305.69566150133,628222292,6785528,8501833
"526","QC","MN",510657.73038,425276.7,0,1632.1830373107,290247587,5706494,8501833
"527","QC","NH",116592.31458,425276.7,0,365.871248879709,273863472,1377529,8501833
"528","QC","KY",292818.69972,425276.7,0,1411.13169387464,380566105,4505836,8501833
"529","QC","MD",556490.71404,425276.7,0,874.278178454357,164609488,6177224,8501833
"530","QC","SD",73212.76902,425276.7,0,2077.21518037573,17129895,886667,8501833
"531","QC","SC",331161.99633,425276.7,0,1546.45979995303,580489001,5118425,8501833
"532","QC","NB",34495.1,425276.7,1,513.126608682657,3268943000,775610,8501833
"533","QC","NV",244960.46859,425276.7,0,3721.69835966088,32168169,3104614,8501833
"534","QC","MI",716840.87337,425276.7,0,1001.51104237888,513781354,10077331,8501833
"535","QC","AZ",498087.34323,425276.7,0,3612.51808759221,542451540,7151502,8501833
"537","QC","TN",511961.8077,425276.7,0,1641.87406114928,320513692,6910840,8501833
"538","QC","HI",123720.42138,425276.7,0,7958.86576298428,2457250,1455271,8501833
"539","QC","DE",104440.96245,425276.7,0,817.848520508598,50124904,989948,8501833
"540","QC","DC",192495.24066,425276.7,0,904.540762910106,1317377,689545,8501833
"541","QC","BC",286182.1,425276.7,1,3539.08921532438,1305956000,5000879,8501833
"542","QC","MA",780309.41955,425276.7,0,462.933844446057,1058079809,7029917,8501833
"543","QC","MO",444180.04038,425276.7,0,1835.90245025475,115409606,6154913,8501833
"544","QC","PE",6778.2,425276.7,1,705.728248182341,172784000,154331,8501833
"545","QC","CT",380093.02611,425276.7,0,540.687666007036,1004212729,3605944,8501833
"547","QC","WY",53115.14355,425276.7,0,2741.60940846234,2098238,576851,8501833
"548","QC","OH",932697.64812,425276.7,0,1056.91410461099,1185271570,11799448,8501833
"549","QC","ME",92496.47403,425276.7,0,317.374751136179,482876736,1362359,8501833
"550","QC","NY",2371795.13721,425276.7,0,566.62828131895,2452706008,20201249,8501833
"551","QC","VA",745322.11842,425276.7,0,1038.68225468557,411789635,8631393,8501833
"552","QC","IA",260420.71125,425276.7,0,1703.59058283437,319494123,3190369,8501833
"553","QC","PA",1064483.10039,425276.7,0,747.623159623039,1200433611,13002700,8501833
"554","QC","LA",341675.4231,425276.7,0,2386.19181321108,613948137,4657757,8501833
"555","QC","AL",311553.73158,425276.7,0,1913.03662612935,149493244,5024279,8501833
"556","QC","ND",80798.25825,425276.7,0,2041.22676134105,1137390696,779094,8501833
"557","QC","SK",79001.8,425276.7,1,2489.92492404825,343617000,1132505,8501833
"558","QC","AB",339674.4,425276.7,1,3034.65423186519,6616261000,4262635,8501833
"560","QC","AK",72381.86424,425276.7,0,4957.36870352716,736477,733391,8501833
"561","QC","ID",112029.37086,425276.7,0,3310.77710114904,13800123,1839106,8501833
"562","QC","KS",233625.69072,425276.7,0,2137.07294117692,261938632,2937880,8501833
"563","QC","NE",176276.27658,425276.7,0,2056.75087960528,16944860,1961504,8501833
"564","QC","TX",2474499.05487,425276.7,0,2736.31365057888,8639884031,29145505,8501833
"565","QC","MT",69948.32964,425276.7,0,2938.33146244102,10619493,1084225,8501833
"566","QC","RI",83348.82543,425276.7,0,518.169092530057,358692301,1097379,8501833
"567","QC","MS",154100.46033,425276.7,0,2109.99815494487,48495537,2961279,8501833
"568","QC","ON",833628.8,425276.7,1,657.703802217222,16421949000,14223942,8501833
"569","QC","NS",42703.5,425276.7,1,720.639931824777,745090000,969383,8501833
"570","QC","FL",1504330.4142,425276.7,0,2208.90136861919,901541484,21538187,8501833
"571","QC","NM",137760.0849,425276.7,0,3114.55876162415,8327239,2117522,8501833
"572","QC","WV",106473.64056,425276.7,0,1068.71420116791,34567906,1793716,8501833
"573","QC","MB",69243.2,425276.7,1,1944.05854638829,1493857000,1342153,8501833
"574","QC","CO",527898.67284,425276.7,0,2744.29576484946,81517304,5773714,8501833
"575","QC","NC",786121.37424,425276.7,0,1342.67633444701,1323320455,10439388,8501833
"576","QC","NL",33159.5,425276.7,1,1415.02944026827,367869000,510550,8501833
"577","QC","WA",807608.92746,425276.7,0,3677.0350196936,581358399,7705281,8501833
"578","SK","OH",932697.64812,79001.8,0,2150.34874828452,455257407,11799448,1132505
"579","SK","SC",331161.99633,79001.8,0,2780.30126983126,130575361,5118425,1132505
"580","SK","IA",260420.71125,79001.8,0,1431.21240437001,561251246,3190369,1132505
"582","SK","AZ",498087.34323,79001.8,0,2048.15145842558,7922774,7151502,1132505
"583","SK","BC",286182.1,79001.8,1,1049.22169437514,639031000,5000879,1132505
"584","SK","MS",154100.46033,79001.8,0,2473.28456897721,57221622,2961279,1132505
"585","SK","WA",807608.92746,79001.8,0,1213.86155413959,14154058,7705281,1132505
"586","SK","PE",6778.2,79001.8,1,3127.63216152404,11320000,154331,1132505
"587","SK","HI",123720.42138,79001.8,0,5552.32885502893,138799,1455271,1132505
"588","SK","WV",106473.64056,79001.8,0,2406.19017455301,42456912,1793716,1132505
"589","SK","GA",858100.65702,79001.8,0,2672.96943971496,291539665,10711908,1132505
"590","SK","ID",112029.37086,79001.8,0,1043.40902060738,40556610,1839106,1132505
"591","SK","NJ",853618.25613,79001.8,0,2700.13296466018,82802570,9288994,1132505
"592","SK","RI",83348.82543,79001.8,0,2818.15153241321,839247,1097379,1132505
"593","SK","DE",104440.96245,79001.8,0,2701.06538370748,2314442,989948,1132505
"594","SK","NL",33159.5,79001.8,1,3682.55564061808,18604000,510550,1132505
"595","SK","MA",780309.41955,79001.8,0,2793.2711849477,31545230,7029917,1132505
"596","SK","AL",311553.73158,79001.8,0,2561.9377773973,44971112,5024279,1132505
"597","SK","MO",444180.04038,79001.8,0,1787.92779131296,374735212,6154913,1132505
"598","SK","NE",176276.27658,79001.8,0,1309.17622869586,227672630,1961504,1132505
"599","SK","AK",72381.86424,79001.8,0,2817.13888732798,121267,733391,1132505
"600","SK","NB",34495.1,79001.8,1,2961.67471529546,50118000,775610,1132505
"601","SK","MN",510657.73038,79001.8,0,1140.99505764119,369818968,5706494,1132505
"602","SK","UT",267121.15818,79001.8,0,1294.85949531472,21000308,3271616,1132505
"603","SK","ME",92496.47403,79001.8,0,2788.84956759442,5770956,1362359,1132505
"604","SK","AB",339674.4,79001.8,1,555.598183289719,7165356000,4262635,1132505
"605","SK","NS",42703.5,79001.8,1,3183.64000111533,59073000,969383,1132505
"606","SK","PA",1064483.10039,79001.8,0,2529.27759404532,317738183,13002700,1132505
"607","SK","DC",192495.24066,79001.8,0,2634.81180388629,47253,689545,1132505
"608","SK","QC",425276.7,79001.8,1,2489.92492404825,934755000,8501833,1132505
"609","SK","CA",4071764.74893,79001.8,0,2054.32591099274,96489927,39538223,1132505
"610","SK","VT",46123.44207,79001.8,0,2585.15506114374,1431979,643077,1132505
"611","SK","CO",527898.67284,79001.8,0,1307.09119684789,83804532,5773714,1132505
"612","SK","MI",716840.87337,79001.8,0,1887.45062251528,144504849,10077331,1132505
"613","SK","TN",511961.8077,79001.8,0,2324.54144353049,94557051,6910840,1132505
"614","SK","LA",341675.4231,79001.8,0,2583.55169718446,127952862,4657757,1132505
"615","SK","FL",1504330.4142,79001.8,0,3309.99489492715,188125319,21538187,1132505
"616","SK","NY",2371795.13721,79001.8,0,2620.8848757519,95100396,20201249,1132505
"617","SK","MD",556490.71404,79001.8,0,2632.25376618181,16749818,6177224,1132505
"618","SK","KY",292818.69972,79001.8,0,2208.03551890667,105125553,4505836,1132505
"619","SK","MB",69243.2,79001.8,1,562.329058415079,1084460000,1342153,1132505
"620","SK","IL",1188374.02842,79001.8,0,1742.74941587159,1072538219,12812508,1132505
"622","SK","ND",80798.25825,79001.8,0,645.125559771917,688180507,779094,1132505
"623","SK","NH",116592.31458,79001.8,0,2734.056219097,4265115,1377529,1132505
"624","SK","WY",53115.14355,79001.8,0,956.745044099194,32123333,576851,1132505
"625","SK","IN",510642.47103,79001.8,0,1960.87526515347,440751405,6785528,1132505
"626","SK","KS",233625.69072,79001.8,0,1608.19175845091,163536313,2937880,1132505
"627","SK","VA",745322.11842,79001.8,0,2665.17492694472,140957007,8631393,1132505
"628","SK","AR",175981.17402,79001.8,0,2080.31178460742,63273807,3011524,1132505
"629","SK","MT",69948.32964,79001.8,0,633.9518500305,67022696,1084225,1132505
"631","SK","ON",833628.8,79001.8,1,2133.97954542708,1890290000,14223942,1132505
"632","SK","OK",273331.71363,79001.8,0,1889.50200730964,264979066,3959353,1132505
"633","SK","CT",380093.02611,79001.8,0,2736.49724609434,20431791,3605944,1132505
"634","SK","TX",2474499.05487,79001.8,0,2375.57739682137,890134285,29145505,1132505
"635","SK","NV",244960.46859,79001.8,0,1778.40414462609,7721893,3104614,1132505
"636","SK","SD",73212.76902,79001.8,0,967.324533472685,77775091,886667,1132505
"637","SK","WI",460310.36754,79001.8,0,1521.52214896817,423794997,5893718,1132505
"638","SK","OR",330108.57042,79001.8,0,1427.85282767667,9758925,4237256,1132505
"639","SK","NM",137760.0849,79001.8,0,1854.24653436219,1198841,2117522,1132505
"640","SK","NC",786121.37424,79001.8,0,2729.90573576893,278070575,10439388,1132505
